payee,mn_count,power
3SzjTBrsvUSDW4npaHZrEBNQho9h47UtMj,1,0.036670334
3mKfmnxXshArus2RHoUSTxWKa9J1kH1orR,1,0.036670334
3XB9hmi1HwFncy92FLFm46CQPeC6sqRXsh,1,0.036670334
3aUxZuCyreEDtF9bk5oF3vyxWkMeLWhrix,1,0.036670334
3oGYoxi3FYU3g1uAkX2DR79Pkv9TxQEzqh,1,0.036670334
3Uj8R189fcqxFa2QWBrQhj85aScbcwiijV,1,0.036670334
3WXqAAxjGmd1MZUUhwPq31Efq8BcrEPSwS,1,0.036670334
3XLfE2BuPPS7J4WMjg5aqW8xgk5fxyohcP,1,0.036670334
3VCxmBxwZ6r6wahuS3dVykwiBRmx3tptKG,1,0.036670334
3UtSYcGjQeWTmuCVJs2xCrLqJCpKtZpibf,1,0.036670334
3h5YNmHANsTgD5TjKxKxLpHoK1tNZ5YFpe,1,0.036670334
3jZkkQsNcyQYWby3jtxdLhyqgLv5F6UpeK,1,0.036670334
3g2ENsEAzdDeW3Xuo7DHQGhofeoGAemrEK,1,0.036670334
3mFkNyu1z36f2WAyvGrAUcehZ7G1oH6Bx8,1,0.036670334
3fb38vM4Tndzdi6anuDUWnpaecG1gifbuK,1,0.036670334
3e3wD7fn2iRrLB7HbfTPszGXLvUfuHMDQ1,1,0.036670334
3ePxPJZN3NEdNg1bz7SQMVhZPP68kaTxUL,1,0.036670334
3TSt3Tu8e22KSYY76Q7QKE24VZhxQdWEGb,1,0.036670334
3XkvGomQ4xFptYCekdhWmmRda2VXtcs8dH,1,0.036670334
3m8TfPRaaAVYNXMc7GJAMM3ujnphojwW4Q,1,0.036670334
3mxM7GD93R31LmwnVTPow22Q1djkBLzr8e,1,0.036670334
3kAB148zEQdQ5BaUTsdoH36ixYHjtZjK7Q,1,0.036670334
3oqoEbPLShvJrRh5HqDNXpFcgRSWNZ6sXk,1,0.036670334
3S2MYn5MmrQRttr2TdTLrnM3TnFbndiYPF,1,0.036670334
3dPbu6ibcfBPUgVDskvBr2gk1au9Ser4m6,1,0.036670334
3ft5ABYN8WaqrxAhHzm6ZQF49p3jGyR9AE,1,0.036670334
3j45k7f3im9JCkNBfhpuqXgg4XiAt7ivxf,1,0.036670334
3aLYJv617XXjV9UwxJHxmw6Ma1ca747w2n,1,0.036670334
3T1yypHke8ifT7yMgRnmUiAxFxPBjw7BVY,1,0.036670334
3SbF12opAzn2GmXgW36riQu6GKMrsVD59x,1,0.036670334
3iuJM5dvPPCtwSdHypMiNB5MLh2NsaUZTZ,1,0.036670334
3nabTeFgBzvYJtP11PGxTHWZfEKUrk1Yj8,1,0.036670334
3ZL3PVmbY769dFeLy6oLLkTX2dtL1PNiTQ,1,0.036670334
